0,1,2
480,0,Senior Data Scientist
480,1,mysql_object_oriented_program
480,1,g_python_query_language_python
2995,0,Data Engineering Consultant
2995,1,data_engineering
2995,1,msbi
2995,1,teradata
2995,1,it_skills
2995,1,python
2995,1,data_science
2995,1,project_management
2995,1,tableau
8483,0,Hadoop Application Lead
8483,1,linux
8483,1,shell_scripting
8483,1,consulting
8483,1,hadoop
8483,1,yarn
8483,1,sentry
8483,1,analytical
8483,1,hdfs
4665,0,Data Engineer: Enterprise Content Management
4665,1,java_web_services
4665,1,application_development
4665,1,asset_management
4665,1,enterprise_content_management
4665,1,sql
4665,1,html5
4665,1,rest_api_s
4665,1,opentext
7139,0,Senior Analyst - Finance Operations
7139,1,finance_operations
7139,1,technical_management
7139,1,change_management
7139,1,knowledge_management
7139,1,finance
7139,1,data_analytics
7139,1,financial_operations
7139,1,delivery_management
4896,0,Data Engineer - eCommerce
4896,1,pyspark
4896,1,spark_framework
4896,1,python
4896,1,data_management
4896,1,data_architect
4896,1,big_data
4896,1,data_warehousing
4896,1,data_modeling
8367,0,Intern
8367,1,procurement
8367,1,usage
8367,1,process_improvement
8367,1,devops
8367,1,healthcare
8367,1,genetics
8367,1,hr
8367,1,pwd
6463,0,Data Science Immediate Opening! Kochi- Kerala
6463,1,data_science
6463,1,machine_learning
6664,0,Associate Vice President - Analytics - Data Science Team
6664,1,data_science
6664,1,hive
6664,1,hadoop
6664,1,etl_tools
6664,1,spark
6664,1,sql
6664,1,python
1349,0,Sr Data Engineering Analyst
1349,1,sql
1349,1,software_development_life_cycle
1349,1,data_engineering
1349,1,datastage
1349,1,visual_studio
1349,1,etl
1349,1,oracle
1349,1,talend
8696,0,Experienced Software Engineer - Technical Lead (AI & ML)
8696,1,ai_&_ml
8696,1,it_skills
8696,1,java
8696,1,python
8696,1,cloud
8696,1,devops
8696,1,product_management
8696,1,css
2519,0,Senior Data Engineer
2519,1,it_skills
2519,1,python
2519,1,data_science
2519,1,cloud
2519,1,big_data
2519,1,aws
2519,1,azure
2519,1,san
8207,0,Business Analyst
8207,1,requirement_gathering
8207,1,uat
8207,1,hr_information_system
8207,1,hris
8207,1,system_integration_testing
8207,1,user_stories
8207,1,business_analysis
8207,1,tableau
8191,0,Financial Business Analyst
8191,1,tableau
8191,1,data_analysis
8191,1,financial_reporting
8191,1,financial_analysis
8191,1,power_bi
8191,1,market_research
8191,1,forecasting
8191,1,variance_analysis
4262,0,"Financial, Data Modeling & Research Analyst"
4262,1,english
4262,1,data_modeling
4262,1,billing
4262,1,tools
4262,1,stores
4262,1,business_intelligence
4262,1,cards
4262,1,microsoft_excel
1606,0,Sr Data Engineer
1606,1,data_migration
1606,1,data_analysis
1606,1,change_management
1606,1,enterprise_architecture
1606,1,system_integration
1606,1,billing
1606,1,schema
1606,1,toad
4184,0,Data Analyst
4184,1,usage
4184,1,ssas
4184,1,ssrs
4184,1,database
4184,1,data_analyst
4184,1,troubleshooting
4184,1,ssis
4184,1,sql
7824,0,Associate Market Analyst
7824,1,it_skills
7824,1,python
7824,1,quality_assurance
7824,1,cloud
7824,1,power_bi
7824,1,data_analysis
7824,1,automation
7824,1,manager_quality_assurance
1659,0,People Data Analyst
1659,1,it_skills
1659,1,quality_assurance
1659,1,data_science
1659,1,data_analysis
1659,1,manager_quality_assurance
1659,1,performance_management
1659,1,information_security
1659,1,data_analyst
1446,0,Data Scientist - Indian Analytics - Model Building Experts - ML
1446,1,python
1446,1,data_analytics
1446,1,training_needs
1446,1,indian_analytics
1446,1,project_delivery
1446,1,machine_learning
1446,1,business_operations
1446,1,change_management
4170,0,Data Analyst
4170,1,excel
4170,1,analytical
4170,1,market_research
4170,1,php
4170,1,data_analyst
4170,1,data_quality
4170,1,data_mining
4170,1,forecasting
1020,0,Data Scientist - Machine Learning
1020,1,r
1020,1,machine_learning
