head,relation,tail
20,0,3
20,1,erp-software
20,1,angebotserstellung
20,1,auftragserfassung
20,1,rechnungsstellung
20,1,lieferando
20,1,pflege von besprechungsräumen
20,1,finanzabteilung
20,1,protokollierung von besprechungen
20,1,kaufmännische ausbildung
20,1,onlinehandel
20,1,sortimentspflege
20,1,organisationstalent
20,1,bürotätigkeiten
20,1,buchhaltung
20,1,detailorientierung
20,1,genauigkeit
20,1,ms-office-anwendungen
20,1,organisationsfähigkeiten
20,1,schnelle auffassungsgabe
20,1,selbstständige arbeitsweise
21,0,3
21,1,euerzuhause
21,1,wartung
21,1,euerzuhause
21,1,verantwortung
21,1,vertragsabschluss
21,1,beratungsgespräche
21,1,events
21,1,familiäres team
21,1,berufserfahrung
21,1,strukturiert
21,1,argumentationsstark
22,0,3
22,1,betriebswirtschaftliches
22,1,wirtschaftswissenschaftliches studium
22,1,kaufmännische ausbildung
22,1,deutsch
22,1,englischkenntnisse
22,1,schnittstelle
22,1,reportings
22,1,korrespondenz
22,1,betreuung
22,1,produktdatenbank
22,1,enge zusammenarbeit
22,1,wirtschaftswissenschaftliches studium
22,1,kaufmännische ausbildung
22,1,analytisches denkvermögen
22,1,eigeninitiative
22,1,microsoft office tools
22,1,excel
22,1,neue tools
22,1,kommunikationsfähigkeiten
22,1,auffassungsgabe
22,1,durchsetzungsvermögen
22,1,flexibilität
23,0,11
23,1,warmgetränken
23,1,arbeitseinteilung
23,1,homeoffice-möglichkeit
23,1,"givve® card, zuschuss zur betrieblichen altersvorsorge"
23,1,schnittstelle
23,1,informatik
23,1,fachinformatiker
23,1,teamfähig
23,1,deutsch
23,1,führerschein klasse b
24,0,3
24,1,intelligente technologien
24,1,produktionsprozesse
24,1,sap
24,1,marketing
24,1,bwl
24,1,informatik
24,1,teamorientiert
24,1,organisations- und kommunikationsgeschick
24,1,einsatzbereitschaft
24,1,marketingassistenz
24,1,marketing-trainee
24,1,marketing-koordinator
25,0,3
25,1,eigenverantwortung
25,1,kundenbedarf
25,1,angebotserstellung
25,1,fakturierung
25,1,berufserfahrung
25,1,quereinsteiger
25,1,ms office
25,1,kommunikationsstärke
25,1,zielorientiert
25,1,moderne arbeitsmittel
25,1,kindergarten-zuschuss
25,1,fitness-kooperation
26,0,0
26,1,katek
26,1,elektronifizierung
26,1,high-value-elektronik
26,1,auswertungen
26,1,berufspraxis
26,1,projektmanagement
26,1,hands-on-mentalität
26,1,projektmanagement
26,1,administration
27,0,3
27,1,organisationstalent
27,1,industriekauffrau
27,1,finanzen- und rechnungen
27,1,schnittstelle
27,1,buchhaltung
27,1,zuständigkeitsbereiches
27,1,ms-office-programme
27,1,englisch kenntnisse in wort- und schrift
27,1,teamwork
27,1,workation
27,1,"erholung und arbeit vereint

art der stelle: teilzeit, festanstellungarbeitsstunden: 20-40 pro woche
gehalt: 2.800,00€ - 3.800,00€ pro monat
arbeitszeiten:

 montag bis freitag

leistungen:

 flexible arbeitszeiten"
28,0,0
28,1,auftragsvorbereitung
28,1,auftragsabwicklung
28,1,maschinenbedienung
28,1,jetprinter
28,1,dampfphase
28,1,ausbauen
28,1,elektronik-bestückung
28,1,qualitäts- und verantwortungsbewusstsein
28,1,entscheidungsfreudigkeit
28,1,flexibilität
28,1,einsatzbereitschaft
28,1,lernen
28,1,mitgestallten
28,1,"interesse an der eigenen persönlichen weiterentwicklung

das bieten wir dir:

 ein attraktives gehaltspaket"
28,1,gestaltungs- und entscheidungsspielraum
28,1,weiterentwicklungsmöglichkeiten
28,1,verantwortungsbewusst
28,1,deutsch
28,1,englisch
29,0,3
29,1,onlineregistrierung
29,1,"errichten artikel- und aufträge im pps, erstellen ab und pflegen kunden- und preisdaten"
29,1,abweichungserklärungen
29,1,kundenentscheidung
29,1,dokumentation
29,1,deutschkenntnisse
29,1,englischkenntnisse
29,1,ms office
29,1,verkaufsassistenz
29,1,durchsetzungskraft
29,1,kundenorientiert
29,1,flexibilität
29,1,arbeitskleidung
30,0,3
30,1,vertriebs- und marketingteams
30,1,vertriebsassistent*in
30,1,detektorsysteme
30,1,auswertungen
30,1,angebotserstellung
30,1,auftragsbearbeitung
30,1,nachverfolgung
30,1,organisation
30,1,messebesuchen
30,1,kaufmännische ausbildung
30,1,innovative technologien
30,1,strukturierte arbeitsweise
30,1,engagement
30,1,zuverlässigkeit
30,1,flexibilität
30,1,ms office
30,1,kundenorientiertes
31,0,3
31,1,auftragsbearbeitung
31,1,datenaufbereitung
31,1,kunden- und lieferantendatenbanken
31,1,zahlungsverkehrs
31,1,office management
31,1,freundliches auftreten
31,1,ms office-anwendungen
31,1,organisationstalent
31,1,8-stunden-schicht
31,1,deutsch
32,0,3
32,1,vertriebsinnendienst
32,1,umsatzverantwortung
32,1,customer journey
