Unnamed: 0.1,Unnamed: 0,Job_Role,Skills/Description,lda_topic,lda_score
4,4,Data Scientist,"['it_skills', 'python', 'data_science', 'machine_learning', 'big_data', 'computer_science', 'computer_vision', 'deep_learning']",6,0.49593776
11,11,Data Scientist / Senior Data Scientist,"['time_series_forecasting', 'machine_learning', 'sql', 'python', 'cnn', 'rnn', 'un-_supervised_learning', 'supervised_learning']",6,0.75138426
14,14,Senior Data Scientist,"['computer_science', 'computer_vision', 'operations_research', 'product_engineering', 'data_science', 'coding', 'machine_learning', 'information_retrieval']",6,0.5653489
16,16,Senior Data Scientist Grade12,"['computer_vision', 'git', 'machine_learning', 'jira', 'python', 'deep_learning', 'data_science', 'neural_networks']",6,0.724559
19,19,Data Scientist V,"['it_skills', 'python', 'data_science', 'machine_learning', 'big_data', 'aws', 'azure', 'computer_science']",1,0.88631546
20,20,"Manager, Data Scientist/AI and Machine Learning Specialist","['computer_science', 'data_science', 'neural_networks', 'pharma', 'network_analysis', 'machine_learning', 'clinical_trials', 'data_visualization']",6,0.47889
29,29,Digital-Senior Process Manager- Data Scientist SPM,"['tableau', 'data_science', 'r', 'logistic_regression', 'sas', 'classification', 'image_analytics', 'data_analytics']",4,0.4655174
30,30,Data Scientist,"['computer_vision', 'pdf', 'data_manipulation', 'machine_learning', 'data_visualization', 'executive_search', 'data_mining', 'big_data']",4,0.30077153
33,33,Principal Data Scientist - Digital Marketing,"['automation', 'product_engineering', 'operations_research', 'machine_learning', 'agile', 'data_structures', 'digital_marketing', 'open_source']",2,0.48311076
35,35,Sr Data Scientist and Engineer,"['machine_learning', 'tensorflow', 'bigquery', 'sap', 'power_bi', 'hadoop', 'big_data', 'tableau']",4,0.3269414
36,36,Data Scientist/ Sr Data Scientist,"['python', 'pyspark', 'credit_risk_modeling', 'credit_card_firm', 'hadoop', 'lgd', 'sql', 'r']",4,0.6097465
38,38,Data Scientist: Artificial Intelligence,"['training', 'enterprise_applications', 'artificial_intelligence', 'investigation', 'open_source', 'watson_discovery', 'deployment']",6,0.50569165
39,39,Data Scientist (AVP & Manager Roles),"['python', 'predictive_modeling', 'data_scientist', 'model_deployment', 'machine_learning']",6,0.8087195
40,40,Principal Data Scientist,"['team_management', 'mlt', 'machine_learning', 'python', 'digital_analytics', 'data_analysis', 'data_science', 'aws']",1,0.8184058
42,42,Data Scientist: Advanced Analytics,"['interpersonal_skills', 'data_science', 'consulting', 'machine_learning', 'open_source', 'training', 'advanced_analytics', 'circuit_designing']",6,0.4770598
43,43,Data Scientist: Artificial Intelligence,"['data_migration', 'maximo', 'enterprise_applications', 'artificial_intelligence', 'open_source', 'maximo_implementation', 'maximo_data_model', 'maximo_data_migration']",4,0.4447868
44,44,"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)","['power_bi', 'hdinsight', 'emr', 'etl', 'big_data_ecosystem', 'glue', 'dataflow', 'oozie']",4,0.7685079
45,45,VP-Data Scientist-AI/ML with Leading Investment Bank,"['pytorch', 'tensorflow', 'data_science', 'pyspark', 'presto', 'classification', 'time_series', 'machine_learning']",6,0.54633784
50,50,Freshers For Junior Data Scientist,"['statistical_modeling', 'r_program']",4,0.65006644
55,55,Assistant Manager/Manager/Senior Manager - Data Scientist,"['r', 'sas', 'data_scientist', 'analytics', 'analytical_skills', 'machine_learning']",4,0.36908755
56,56,Senior Data Scientist,"['data_science', 'data_scientist', 'data_analysis', 'data_analytics', 'data_analyst', 'python', 'r', 'sql']",4,0.8749507
60,60,Data Scientist - KONE India Pvt. LTD,"['python', 'r', 'sql', 'it_skills', 'cloud', 'devops', 'aws', 'data_visualization']",1,0.5550166
62,62,Data Scientist - Leading Analytics Product Company in Mumbai,"['senior_data_scientist', 'regression', 'text_mining', 'clustering', 'machine_learning', 'java', 'c++', 'c']",1,0.55834645
63,63,Data Scientist - R/Python,"['python', 'r', 'data_scientist', 'artificial_intelligence', 'data_mining', 'machine_learning', 'phd', 'sql']",6,0.4870105
66,66,Sr. Data Scientist,"['conceptual_modelling', 'natural_language_processing', 'machine_learning', 'predictive_modelling', 'hypothesis_testing._-experience_working_on_building_an_ai_conversation_voice_chatbot', 'it_skills', 'python', 'testing']",6,0.34716755
71,71,Data Scientist,"['unix', 'operations_research', 'sas', 'data_management', 'risk_analytics', 'project_management', 'data_collection', 'data_mining']",5,0.8883837
75,75,Data Scientist,"['data_science', 'pyspark', 'algorithms', 'machine_learning', 'deep_learning']",6,0.65093803
76,76,Rolls-Royce Data Labs : Data Scientist,"['matplotlib', 'azure', 'git', 'linux', 'docker', 'pandas', 'python']",0,0.7240565
81,81,Data Scientist: Artificial Intelligence,"['scheduling', 'big_data', 'unix_shell_scripting', 'sql', 'python', 'automation', 'interpersonal_skills', 'artificial_intelligence']",5,0.49637315
82,82,Staff Data Scientist,"['it_skills', 'data_science', 'machine_learning', 'big_data', 'text_mining', 'computer_vision', 'publishing', 'web_analytics']",6,0.40600142
83,83,Data Scientist,"['health_insurance', 'data_analysis', 'statistical_modeling', 'data_science', 'machine_learning', 'scala', 'programming', 'information_retrieval']",6,0.4897685
84,84,Data Scientist / Machine learning Engineer- Python/NLP,"['machine_learning', 'it_skills', 'data_science', 'python', 'nlp']",6,0.5187246
87,87,Sr. Data Scientist,"['python', 'machine_learning', 'artificial_intelligence']",6,0.71740496
88,88,Sr Data Scientist,"['supply_chain', 'computer_science', 'data_analysis', 'simulation', 'machine_learning', 'open_source', 'data_mining', 'sql']",5,0.47546673
91,91,Senior Data Scientist,"['statistics', 'supply_chain', 'gcp', 'aws']",0,0.39273095
92,92,Data Scientist Opportunity with PayU - Diversity Hiring,"['python', 'django', 'pytorch', 'text_mining', 'predictive_analytics', 'pattern_recognition', 'natural_language_processing', 'data_mining']",6,0.44450268
95,95,Data Scientist: Advanced Analytics,"['interpersonal_skills', 'javascript', 'open_source', 'lex', 'python', 'advanced_analytics', 'architecture', 'investigation']",4,0.33672664
97,97,Data Scientist: Artificial Intelligence,"['ivr', 'enterprise_applications', 'artificial_intelligence', 'open_source', 'python', 'it_skills', 'java', 'aws']",1,0.4835642
98,98,Data Scientist,"['cloud', 'hive', 'python', 'hadoop', 'big_data']",7,0.5309023
102,102,Data Scientist,"['data_mining', '-', 'r', 'tableau', 'communication', 'sql', 'c++', 'python']",4,0.6571161
106,106,Lead Data Scientist,"['r', 'python', 'sql', 'data_science', 'data_manipulation', 'artificial_intelligence', 'linear_regression', 'machine_learning']",6,0.53977764
108,108,Junior Data Scientist,"['data_analysis', 'data_mining', 'artificial_neural_networks', 'python', 'r', 'predictive_modeling', 'segmentation', 'machine_learning']",4,0.49882346
114,114,Data Scientist II,"['aws_services', 'data_science', 'nlp', 'neural_networks', 'data_analysis', 'data_mining', 'machine_learning', 'deep_learning']",6,0.61199605
115,115,Python Developer(Data Scientist),"['java', 'r', 'python', 'it_skills', 'software_development', 'testing', 'quality_assurance', 'javascript']",1,0.77423364
121,121,Data Scientist,"['deep_learning', 'python', 'data_science', 'machine_learning', 'sql', 'communication_skills', 'artificial_intelligence']",6,0.56243306
123,123,Urgent Opening For Senior Data Scientist Role (Pune),"['data_science', 'artificial_intelligence', 'machine_learning', 'it_skills', 'python', 'predictive_modeling', 'natural_language_processing']",6,0.66634566
124,124,Senior Data Scientist,"['computer_science', 'automation', 'github', 'data_science', 'machine_learning', 'venture_capital', 'programming', 'analytics']",6,0.41280675
125,125,Sr . Data Scientist / Data Scientist,"['it_skills', 'machine_learning', 'san', 'statistical_analysis', 'french', 'big_data_analytics', 'oops', 'data_structures']",4,0.3956776
126,126,Sr NLP & Text Mining Data Scientist,"['business_intelligence', 'it_skills', 'python', 'testing', 'credentialing', 'medicare', 'feedback', 'us_healthcare']",6,0.48734847
127,127,"Data Scientist/ Machine Learning, 2022 Passout Can also apply","['python', 'machine_learning', 'data_scientist', 'it_skills', 'php', 'artificial_intelligence', 'software_testing', 'freshers']",6,0.33364958
130,130,Data Scientist 1,"['unix', 'operations_research', 'sas', 'data_management', 'risk_analytics', 'project_management', 'data_collection', 'data_mining']",5,0.88837993
131,131,Data Scientist,"['predictive_modeling', 'business_intelligence', 'power_bi', 'business_analytics', 'sas', 'qlik_sense', 'scripting_languages', 'data_mining']",4,0.65912545
133,133,"Specialist, Data Scientist","['training', 'advanced_analytics', 'data_science', 'programming', 'representative', 'management', 'financial_services', 'analytics']",6,0.39963707
137,137,Data Scientist 1,"['computer_science', 'statistical_programming', 'data_modeling', 'analytical', 'machine_learning', 'qlikview', 'business_intelligence', 'financial_services']",5,0.58094984
139,139,Sr. Associate - Data scientist -Affine.Ai,"['logistic_regression', 'r_programming', 'python', 'machine_learning', 'statistical_modeling', 'analytical', 'advanced_statistics', 'sql']",4,0.5184142
144,144,Lead Data Scientist - CPG/BFSI/Healthcare Domain,"['end-to-end', 'eda', 'visualizations', 'insights', 'monitoring', 'modelling', 'problem_scoping', 'r']",2,0.66424227
147,147,Data Analyst / Data Scientist - C++/c#/java,"['c#', 'java', 'architecting', 'c++', 'software_development', 'data_scientist', 'hadoop', 'data_analysis']",7,0.2771943
148,148,Data Analyst/ Data Scientist - C++/c#/java,"['java', 'software_development', 'machine_learning', 'c++', 'hadoop', 'data_mining', 'communication', 'algorithms']",6,0.4740176
149,149,Senior AI Scientist - SAP Procurement Data Science Team,"['python', 'it_skills', 'java', 'data_science', 'machine_learning', 'cloud', 'sap', 'procurement']",1,0.74957484
155,155,Data Scientist,"['data_science', 'python', 'opencv', 'scipy', 'nltk', 'numpy', 'tensorflow', 'pytorch']",6,0.49816582
159,159,Data Scientist,"['tensorflow', 'python', 'caffe', 'mxnet', 'keras', 'written_communication', 'pytorch', 'agile']",6,0.7674852
160,160,Data Scientist,"['azure_machine_learning', 'pandas', 'knn', 'regression', 'azure_ml', 'matplotlib', 'data_science', 'machine_learning']",6,0.40702152
163,163,Data Scientist | Zipcar,['machine_learning'],6,0.47622076
167,167,Data Scientist,"['cnn', 'deep_ai', 'python', 'keras', 'tensorflow', 'machine_learning', 'lstm', 'nlp']",6,0.87091607
170,170,Data Scientist - Python/Machine Learning,"['python', 'r', 'statistical_analysis', 'data_analytics', 'cicd', 'net_core', 'machine_learning', 'devops']",4,0.526865
171,171,Lead Data Scientist - Deep Learning/machine Learning,"['data_management', 'cluster_analysis', 'pytorch', 'mining', 'analytical', 'r', 'theano', 'logistic_regression']",4,0.42335534
173,173,Data Scientist,"['data_science', 'statistical_modeling', 'problem_solving', 'it_skills', 'strategic_thinking']",4,0.38498992
