Unnamed: 0.1,Unnamed: 0,Job_Role,Skills/Description,lda_topic,lda_score
535,535,Senior Data Scientist,"['mysql_object_oriented_program', 'g_python_query_language_python']",2,0.6615197
3251,3251,Data Engineering Consultant,"['data_engineering', 'msbi', 'teradata', 'it_skills', 'python', 'data_science', 'project_management', 'tableau']",1,0.5277821
9204,9204,Hadoop Application Lead,"['linux', 'shell_scripting', 'consulting', 'hadoop', 'yarn', 'sentry', 'analytical', 'hdfs']",1,0.3522373
5056,5056,Data Engineer: Enterprise Content Management,"['java_web_services', 'application_development', 'asset_management', 'enterprise_content_management', 'sql', 'html5', 'rest_api_s', 'opentext']",2,0.880662
7753,7753,Senior Analyst - Finance Operations,"['finance_operations', 'technical_management', 'change_management', 'knowledge_management', 'finance', 'data_analytics', 'financial_operations', 'delivery_management']",3,0.47339988
5313,5313,Data Engineer - eCommerce,"['pyspark', 'spark_framework', 'python', 'data_management', 'data_architect', 'big_data', 'data_warehousing', 'data_modeling']",0,0.42353067
9076,9076,Intern,"['procurement', 'usage', 'process_improvement', 'devops', 'healthcare', 'genetics', 'hr', 'pwd']",5,0.7820825
7028,7028,Data Science Immediate Opening! Kochi- Kerala,"['data_science', 'machine_learning']",6,0.6356731
7242,7242,Associate Vice President - Analytics - Data Science Team,"['data_science', 'hive', 'hadoop', 'etl_tools', 'spark', 'sql', 'python']",7,0.58512765
1483,1483,Sr Data Engineering Analyst,"['sql', 'software_development_life_cycle', 'data_engineering', 'datastage', 'visual_studio', 'etl', 'oracle', 'talend']",2,0.5800865
9435,9435,Experienced Software Engineer - Technical Lead (AI & ML),"['ai_&_ml', 'it_skills', 'java', 'python', 'cloud', 'devops', 'product_management', 'css']",1,0.886793
2740,2740,Senior Data Engineer,"['it_skills', 'python', 'data_science', 'cloud', 'big_data', 'aws', 'azure', 'san']",1,0.8868048
8901,8901,Business Analyst,"['requirement_gathering', 'uat', 'hr_information_system', 'hris', 'system_integration_testing', 'user_stories', 'business_analysis', 'tableau']",3,0.46309188
8883,8883,Financial Business Analyst,"['tableau', 'data_analysis', 'financial_reporting', 'financial_analysis', 'power_bi', 'market_research', 'forecasting', 'variance_analysis']",3,0.35105547
4618,4618,"Financial, Data Modeling & Research Analyst","['english', 'data_modeling', 'billing', 'tools', 'stores', 'business_intelligence', 'cards', 'microsoft_excel']",5,0.67459375
1759,1759,Sr Data Engineer,"['data_migration', 'data_analysis', 'change_management', 'enterprise_architecture', 'system_integration', 'billing', 'schema', 'toad']",2,0.53880763
4532,4532,Data Analyst,"['usage', 'ssas', 'ssrs', 'database', 'data_analyst', 'troubleshooting', 'ssis', 'sql']",5,0.52161926
8495,8495,Associate Market Analyst,"['it_skills', 'python', 'quality_assurance', 'cloud', 'power_bi', 'data_analysis', 'automation', 'manager_quality_assurance']",1,0.606108
1818,1818,People Data Analyst,"['it_skills', 'quality_assurance', 'data_science', 'data_analysis', 'manager_quality_assurance', 'performance_management', 'information_security', 'data_analyst']",5,0.56417054
1587,1587,Data Scientist - Indian Analytics - Model Building Experts - ML,"['python', 'data_analytics', 'training_needs', 'indian_analytics', 'project_delivery', 'machine_learning', 'business_operations', 'change_management']",3,0.45814273
4517,4517,Data Analyst,"['excel', 'analytical', 'market_research', 'php', 'data_analyst', 'data_quality', 'data_mining', 'forecasting']",5,0.7548064
1121,1121,Data Scientist - Machine Learning,"['r', 'machine_learning', 'python', 'it_skills', 'data_science', 'artificial_intelligence', 'sas', 'qlikview']",4,0.3607055
776,776,Data Scientist - Innovation Center Network,"['hana', 'it_skills', 'java', 'j2ee', 'python', 'cloud', 'css', 'javascript']",1,0.8868124
3248,3248,Cloud Data Architecture Digital Data Engineering Practitioner,"['it_skills', 'cloud', 'supply_chain', 'analytical_skills', 'data_migration', 'data_services', 'architecture', 'gcp']",5,0.39266846
2037,2037,BODS Data Migration Sr. Analyst / Lead,"['sap_c4c', 'ecc', 'cpi', 'debugging', 'sap_btp', 'soap', 'ui_script', 'sap_sales']",3,0.7636741
5187,5187,Data Science Consultant,"['supply_chain', 'computer_science', 'operations_research', 'analytical', 'machine_learning', 'data_collection', 'data_mining', 'matlab']",5,0.57539225
2940,2940,Senior Data Management Analyst,"['postgres_database', 'postgresql', 'postgresql_schema', 'postgresql_database_administration']",4,0.59277344
2320,2320,Business/ Data/ Product/ Analyst - Analytics - eCommerce- IIT/NIT/BITS,"['data_management', 'data_analytics', 'analytics', 'business_analysis', 'sql', 'python']",4,0.59935737
9718,9718,HR Analyst/ Consultant,"['powerpoint', 'excel', 'analysis', 'executive', 'hr_strategy', 'data_analysis', 'chat', 'human_capital']",4,0.87542933
2096,2096,Senior Business Data Analyst,"['business_transformation', 'data_management', 'management_consulting', 'actuarial', 'data_quality', 'customer_service', 'operations', 'information_technology']",5,0.4442855
8393,8393,Partnership Analyst I,"['verbal_written', 'communication', 'accounts_payable', 'ms_excel', 'business_administration', 'analyst', 'data_analysis', 'excel']",5,0.47913843
5670,5670,Data Engineer - Java / Scala,"['cassandra', 'java_j2ee_developer', 'scala', 'hadoop', 'mongodb', 'j2ee', 'aws']",7,0.5740593
4014,4014,Technical Data programmer / analyst,"['big_data', 'oracle_pl_/_sql', 'java', 'spark', 'hive', 'python', 'it_skills', 'oracle']",7,0.5361544
1558,1558,Sr Data Analyst I,"['debugging', 'batch_programming', 'tableau', 'ms_-_excel', 'pl_/_sql', 'python', 'root_cause_analysis', 'it_skills']",1,0.7772885
4839,4839,Data Engineer,"['data_migration', 'linux', 'coding', 'data_modeling', 'scheduling', 'customer_service', 'resource_management', 'operations']",5,0.5355624
9808,9808,Application Architect: Google Cloud Migration,"['git', 'staffing', 'cloud', 'application_development', 'rfp', 'it_skills', 'devops', 'jenkins']",1,0.45656884
2212,2212,Senior Data Engineer - DataStage,"['datastage', 'it_skills', 'testing', 'unix_scripting', 'ci/cd', 'data_engineer', 'data_warehousing', 'sql']",0,0.3280696
656,656,Principal Data Scientist,"['tensorflow', 'python', 'machine_learning', 'scala', 'spark', 'r', 'scikit', 'object_-_oriented']",6,0.49976918
1708,1708,Reference Data Analyst,"['diversity_and_inclusion', 'data_analyst']",2,0.36262062
11918,11918,Technical Support: Engineer,"['algorithms', 'diagnostics', 'sas', 'data_management', 'cognos', 'customer_support', 'forecasting', 'business_executive']",5,0.32849392
7778,7778,Openlink Endur Functional Business Analyst,"['it_skills', 'testing', 'automation_testing', 'business_analyst', 'data_modeling', 'analytical', 'consulting', 'agile']",5,0.5655514
8497,8497,Drug Safety Scientist I,"['reconciliation', 'ms_office_tools', 'healthcare', 'workflow', 'life_sciences', 'pharmacovigilance', 'subject_matter_expertise', 'application_software']",2,0.39746255
2247,2247,Hiring Engineer / Data Analyst - Energy Transition @ Azure Power,"['resource_assessment', 'engineer_analyst', 'data_analyst']",4,0.7307263
2524,2524,GCP Data Engineer with Looker Experience,"['python', 'gcp', 'looker', 'gcp_cloud', 'hadoop', 'tableau', 'java', 'query_optimization']",4,0.3865103
11061,11061,Spark Specialist,"['spark', 'snowflake', 'data_lake', 'hadoop', 'java', 'analytical', 'hdfs', 'big_data']",7,0.4994557
11515,11515,AIML Architect- Immediate/15 Days Joiner,"['it_skills', 'python', 'data_science', 'cloud', 'devops', 'project_management', 'aws', 'aiml']",1,0.88682586
6376,6376,Data Analyst - SAS + Python/SQL - 4-8yrs - Worked with big datasets,"['sas', 'data_analytics', 'python', 'sql']",4,0.7805383
5880,5880,Azure Data Engineer,"['azure_synapse', 'pyspark', 'azure_data_engineer', 'azure_databricks', 'python', 'scala', 'azure_functions', 'azure_sql_db']",7,0.87444293
11105,11105,Machine Learning Engineer - Python,"['machine_learning', 'forecasting', 'python', 'r', 'linear_regression', 'tensorflow', 'pandas', 'natural_language_processing']",6,0.7429056
7062,7062,Big data Developer,"['mysql', 'spark', 'oozie', 'postgres', 'scala', 'big_data', 'data_analysis', 'java']",7,0.4323944
6717,6717,Data Analytics Developer,"['c++', 'linux', 'shell_scripting', 'machine_learning', 'database', 'olap', 'informatica', 'analytics']",2,0.6809772
3703,3703,Senior Technical Lead (Data Engineer),"['architect', 'san', 'automation', 'rdbms', 'testing_tools', 'coding', 'javascript', 'agile']",2,0.7685863
9469,9469,Senior Software Engineer ( . Net ),"['ci_/_cd', 'c#_net', 'ecs', 'postgresql', 'azure', 'cloud_security', 'docker', 'aws_rds']",0,0.5518546
322,322,Data Scientist and Analyst,"['natural_language', 'tableau', 'python', 'deep_learning', 'sql', 'business_analytics', 'statistical_modeling', 'machine_learning']",4,0.46896875
7147,7147,Data Engineer with Map Reduce Professionals,"['java', 'data_engineer', 'map_reduce_framework', 'it_skills', 'python', 'big_data', 'hive', 'pyspark']",7,0.6820761
8407,8407,Privileged Access Management Support Analyst,"['iis', 'linux', 'ldap', 'data_management', 'active_directory', 'windows', 'apache', 'microsoft']",2,0.4075717
6174,6174,Data Engineer,"['computer_science', 'customer_acquisition', 'erp', 'data_modeling', 'gcp', 'mysql', 'data_visualization', 'big_data']",2,0.33980614
8073,8073,Senior Business Analyst,"['ai_modelling', 'ml_modelling', 'data_requirement_gathering', 'predictive_modeling', 'product_management', 'data_quality', 'business_analyst', 'product_roadmap']",5,0.78107077
7646,7646,Associate Portfolio Analyst,"['operational_excellence', 'project_management', 'process_improvement', 'analytical', 'business_planning', 'data_quality', 'project_delivery', 'portfolio_management']",5,0.42083466
4789,4789,Data Engineer Senior Role,"['python', 'etl', 'aws', 'athena', 'sql']",0,0.64968514
1447,1447,Senior Analyst-Data Visualization,"['publishing', 'excel', 'consulting', 'analytics', 'sql', 'architecture', 'client_relationship', 'data_visualization']",5,0.45990035
3307,3307,Azure Data Engineer,"['vnet', 'azure_data_factory', 'sql_server', 'adls_sql_server', 'adf', 'it_skills', 'power_bi', 'azure']",0,0.63765544
3751,3751,Senior Technical Lead (Data Engineer),"['git', 'oops', 'wcf', 'sql', 'jira', 'verbal', 'microservices', 'entity_framework']",0,0.37064147
6502,6502,Data Engineer - Python/ Big Data,"['big_data', 'aws', 'python', 'data_analytics', 'pl_sql', 'hadoop_stack', 'integration_-_testing', 'unit_testing']",0,0.49475577
6084,6084,Data Engineer,"['supply_chain', 'data_analysis', 'appliances', 'oracle_business_intelligence', 'data_analyst', 'business_intelligence', 'information_technology', 'data_warehousing']",5,0.78200465
4424,4424,Data Analyst,"['secondary_data', 'tally', 'computer_operator', 'commerce', 'data_collection', 'data_analyst', 'ms_excel', 'interpreting_data']",5,0.7802711
10169,10169,Quantexa Developer,"['it_skills', 'java', 'python', 'testing', 'certified', 'quantexa']",1,0.8559539
3606,3606,Senior Technical Lead (Data Engineer),"['it_skills', 'data_science', 'machine_learning', 'cloud', 'engineering_services', 'san', 'front_end', 'git']",1,0.31071067
9449,9449,Sr . Model Operations Engineer,"['maven', 'git', 'powershell', 'artificial_intelligence', 'machine_learning', 'genetics', 'virtualization', 'forecasting']",5,0.32817292
3069,3069,Data Analyst,"['unix_linux', 'project_management', 'data_analysis', 'analytical', 'quantitative', 'project_management_skills', 'msc', 'sas_programming']",1,0.550306
11796,11796,BI Manager,['bi_manager'],5,0.20821051
3477,3477,Virtue Analytics - Data Analyst,"['data_analysis', 'r', 'excel', 'python_microsoft_office', 'analytical_thinking', 'testing', 'designing', 'managing']",4,0.76715815
3058,3058,Data Analyst,"['data_analysis', 'data_mapping', 'written_communications', 'agile', 'excel', 'verbal', 'sql', 'interpersonal_skills']",3,0.5148721
2810,2810,Senior Staff Engineer(Java / C and Big Data),"['core_java', 'nosql', 'rest', 'software_development', 'big_data', 'aws', 'spring', 'machine_learning']",1,0.73169214
10383,10383,Sr . Product Designer,"['product_strategy', 'front_end', 'product_manager', 'ui', 'problem_solving', 'product_designer', 'prototyping', 'visual_design']",4,0.6481375
11920,11920,MLOps DevOps Engineer,"['azure', 'golang', 'jenkins', 'machine_learning', 'learning', 'python', 'ansible', 'saas']",0,0.5291989
11948,11948,Software Engineering Manager,"['django', 'software_architect', 'full_stack_development', 'micros_services_architecture', 'nosql', 'web_application', 'big_data', 'python']",0,0.62539196
4694,4694,Cloud Data Architecture Application Developer,"['it_skills', 'java', 'python', 'cloud', 'big_data', 'aws', 'azure', 'business_process']",1,0.88562
8344,8344,Sr. Business Marketing Analyst -Google Analytics - WFH,"['marketing_analyst', 'google_stack_reporting', 'google_analytics', 'marketing_analytics', 'data_analytics', 'data_analyst', 'google_data_studio', 'campaign_analytics']",4,0.66161686
920,920,Data Scientist-Predictive Modelling,"['teradata_data_science', 'oracle', 'statistical_modeling', 'python', 'teradata', 'machine_learning', 'r', 'sql']",1,0.41309366
5472,5472,BIG DATA Developer,"['big_data', 'hdfs', 'linux', 'hive', 'hadoop', 'java', 'sql_apis', 'spark']",7,0.72999144
10250,10250,Principal Java Cloud Full Stack Developer,"['it_skills', 'java', 'software_development', 'machine_learning', 'artificial_intelligence', 'cloud', 'devops', 'computer_science']",1,0.8863441
4365,4365,Senior Big Data Developer - Data Warehousing/Business Intelligence,"['it_skills', 'java', 'python', 'testing', 'devops', 'css', 'javascript', 'data_mart_development']",1,0.8867735
3957,3957,SAP BusinessObjects Data Services Data Platform Engineer,"['communications', 'sap_bods', 'sap_data_&_development', 'sap_businessobjects_data_services', 'bods', 'pl_sql_enterprise_hana', 'it_skills', 'sap']",3,0.75711644
10556,10556,Senior Software Engineer,"['application_development', 'django', 'hadoop', 'big_data', 'spark', 'aws', 'technical_writing', 'problem_solving_skills']",7,0.51913905
8560,8560,Senior Business Analyst,"['relationship_management', 'business_analyst', 'data_science', 'big_data_analytics', 'consulting', 'relationship', 'power_bi', 'data_visualization']",4,0.5396863
4767,4767,Senior Big Data Engineer,"['bigdata_technologies', 'spark', 'kibana', 'analytical', 'powerbi', 'pyspark', 'scikit', 'tableau']",4,0.4195803
