head,relation,tail
0,0,6
0,1,python
0,1,mlt
0,1,statistical_modeling
0,1,machine_learning
0,1,it_skills
0,1,advanced_analytics
0,1,scala
0,1,statistics
1,0,1
1,1,python
1,1,it_skills
1,1,testing
1,1,cloud
1,1,product_management
1,1,sap
1,1,cloud_computing
1,1,nlp
2,0,1
2,1,python
2,1,machine_learning
2,1,data_science
2,1,data_analysis
2,1,aws
2,1,azure
3,0,6
3,1,it_skills
3,1,python
3,1,data_science
3,1,machine_learning
3,1,big_data
3,1,computer_science
3,1,computer_vision
3,1,deep_learning
4,0,1
4,1,data_science
4,1,oral_communication
4,1,shell
4,1,python
4,1,unix
4,1,written
4,1,big_data
4,1,machine_learning
5,0,2
5,1,computer_science
5,1,cassandra
5,1,machine_learning
5,1,agile
5,1,data_structures
5,1,open_source
5,1,distribution_system
5,1,analytics
6,0,1
6,1,team_lead
6,1,mlt
6,1,machine_learning
6,1,aws
6,1,python
6,1,it_skills
6,1,testing
6,1,data_science
7,0,4
7,1,graphics
7,1,bidding
7,1,google_analytics
7,1,data_management
7,1,social_networking
7,1,google_adwords
7,1,html
7,1,business_intelligence
8,0,1
8,1,machine_learning
8,1,it_skills
8,1,java
8,1,python
8,1,software_development
8,1,data_science
8,1,nlp
8,1,open_source
9,0,6
9,1,time_series_forecasting
9,1,machine_learning
9,1,sql
9,1,python
9,1,cnn
9,1,rnn
9,1,un-_supervised_learning
9,1,supervised_learning
10,0,2
10,1,computer_science
10,1,c++
10,1,artificial_intelligence
10,1,machine_learning
10,1,scala
10,1,agile
10,1,data_structures
10,1,scrum
11,0,1
11,1,database_knowledge
11,1,r
11,1,statistical_programming
11,1,python
11,1,it_skills
11,1,machine_learning
11,1,mathematics_and_science_background
11,1,sas
12,0,6
12,1,computer_science
12,1,computer_vision
12,1,operations_research
12,1,product_engineering
12,1,data_science
12,1,coding
12,1,machine_learning
12,1,information_retrieval
13,0,0
13,1,ci_/_cd
13,1,algorithms
13,1,data_science
13,1,nosql
13,1,data_structure
13,1,python
13,1,azure
13,1,aws
14,0,6
14,1,computer_vision
14,1,git
14,1,machine_learning
14,1,jira
14,1,python
14,1,deep_learning
14,1,data_science
14,1,neural_networks
15,0,4
15,1,python
15,1,tableau
15,1,machine_learning
15,1,sql
15,1,statistical_modeling
15,1,adv_excel
15,1,microstrategy
15,1,r_shiny
16,0,1
16,1,it_skills
16,1,python
16,1,data_science
16,1,machine_learning
16,1,big_data
16,1,aws
16,1,azure
16,1,computer_science
17,0,6
17,1,computer_science
17,1,data_science
17,1,neural_networks
17,1,pharma
17,1,network_analysis
17,1,machine_learning
17,1,clinical_trials
17,1,data_visualization
18,0,4
18,1,tableau
18,1,data_science
18,1,r
18,1,logistic_regression
18,1,sas
18,1,classification
18,1,data_analytics
18,1,random_forest
19,0,5
19,1,data_reporting
19,1,analytical
19,1,pharma
19,1,healthcare
19,1,data_integrity
19,1,hr
19,1,troubleshooting
19,1,hplc
20,0,1
20,1,python
20,1,django
20,1,java
20,1,mysql
20,1,it_skills
20,1,data_science
20,1,cloud
20,1,javascript
21,0,5
21,1,data_management
21,1,data_science
21,1,cash_flow
21,1,data_analytics
21,1,big_data
21,1,business_banking
21,1,analytics
21,1,sql
22,0,4
22,1,data_analysis
22,1,c++
22,1,data_visualization
22,1,advanced_excel
22,1,tableau
22,1,python
23,0,2
23,1,sas
23,1,consulting
23,1,programming
23,1,life_sciences
23,1,pharmacovigilance
23,1,cognos
23,1,project_initiation
23,1,clinical_trials
24,0,2
24,1,data_management
24,1,edc
24,1,clinical_trials
24,1,data_collection
24,1,clinical_research
24,1,data_quality
24,1,licensing
24,1,monitoring
25,0,5
25,1,supply_chain
25,1,text_mining
25,1,data_management
25,1,manager_technology
25,1,data_quality
25,1,mathematics
25,1,network_management
25,1,big_data
26,0,4
26,1,tableau
26,1,data_science
26,1,r
26,1,logistic_regression
26,1,sas
26,1,classification
26,1,image_analytics
26,1,data_analytics
27,0,4
27,1,computer_vision
27,1,pdf
27,1,data_manipulation
27,1,machine_learning
27,1,data_visualization
27,1,executive_search
27,1,data_mining
27,1,big_data
28,0,5
28,1,computer_science
28,1,c++
28,1,operations_research
28,1,analytical
28,1,machine_learning
28,1,data_collection
28,1,data_mining
28,1,business_intelligence
29,0,2
29,1,automation
29,1,product_engineering
29,1,operations_research
29,1,machine_learning
29,1,agile
29,1,data_structures
29,1,digital_marketing
29,1,open_source
30,0,4
30,1,machine_learning
30,1,tensorflow
30,1,bigquery
30,1,sap
30,1,power_bi
30,1,hadoop
30,1,big_data
30,1,tableau
31,0,4
31,1,python
31,1,pyspark
31,1,credit_risk_modeling
31,1,credit_card_firm
31,1,hadoop
31,1,lgd
31,1,sql
31,1,r
32,0,6
32,1,training
32,1,enterprise_applications
32,1,artificial_intelligence
32,1,investigation
32,1,open_source
32,1,watson_discovery
32,1,deployment
33,0,6
33,1,python
33,1,predictive_modeling
33,1,data_scientist
33,1,model_deployment
33,1,machine_learning
34,0,1
34,1,team_management
34,1,mlt
34,1,machine_learning
34,1,python
34,1,digital_analytics
34,1,data_analysis
34,1,data_science
34,1,aws
35,0,1
35,1,aws
35,1,it_skills
35,1,python
35,1,testing
35,1,data_science
35,1,machine_learning
35,1,naive_bayes
35,1,decision_tree
36,0,6
36,1,interpersonal_skills
36,1,data_science
36,1,consulting
36,1,machine_learning
36,1,open_source
36,1,training
36,1,advanced_analytics
36,1,circuit_designing
37,0,4
37,1,data_migration
37,1,maximo
37,1,enterprise_applications
37,1,artificial_intelligence
37,1,open_source
37,1,maximo_implementation
37,1,maximo_data_model
37,1,maximo_data_migration
38,0,4
38,1,power_bi
38,1,hdinsight
38,1,emr
38,1,etl
38,1,big_data_ecosystem
38,1,glue
38,1,dataflow
38,1,oozie
39,0,6
39,1,pytorch
39,1,tensorflow
39,1,data_science
39,1,pyspark
39,1,presto
39,1,classification
39,1,time_series
39,1,machine_learning
40,0,1
40,1,it_skills
40,1,testing
40,1,data_science
40,1,machine_learning
40,1,cloud
40,1,big_data
40,1,text_mining
40,1,neural_networks
41,0,1
41,1,automation
41,1,consulting
41,1,machine_learning
41,1,analytics
41,1,salesforce
41,1,it_skills
41,1,azure
41,1,ivr
42,0,4
42,1,python
42,1,tableau
42,1,sql
43,0,1
43,1,machine_learning
43,1,python
43,1,it_skills
43,1,software_development
43,1,data_science
43,1,cloud
43,1,logistic_regression
43,1,nosql
44,0,4
44,1,statistical_modeling
44,1,r_program
45,0,4
45,1,data_science
45,1,java
45,1,business_intelligence
45,1,r
45,1,visualization
45,1,business_analytics
45,1,sql_server
45,1,tableau
46,0,5
46,1,data_analysis
46,1,wealth_management
46,1,coding
46,1,project_management
46,1,analytical
46,1,anti_money_laundering
46,1,cash_management
46,1,financial_services
47,0,4
47,1,python
47,1,regression
47,1,data_visualization
47,1,machine_learning
47,1,sql
47,1,power_bi
47,1,data_manipulation
47,1,sql_querying
48,0,4
48,1,r
48,1,sas
48,1,data_scientist
48,1,analytics
48,1,analytical_skills
48,1,machine_learning
49,0,4
49,1,data_science
49,1,data_scientist
49,1,data_analysis
49,1,data_analytics
49,1,data_analyst
49,1,python
49,1,r
49,1,sql
50,0,6
50,1,machine_learning
50,1,python
50,1,caffe
50,1,torch
50,1,opencv
50,1,tensorflow
50,1,theano
50,1,cudnn
51,0,5
51,1,sas
51,1,data_management
51,1,consulting
51,1,life_sciences
51,1,sql
51,1,it_skills
51,1,cloud
51,1,statistical_programming
52,0,1
52,1,python
52,1,r
52,1,sql
52,1,it_skills
52,1,cloud
52,1,devops
52,1,aws
52,1,data_visualization
53,0,2
53,1,graphics
53,1,bidding
53,1,data_management
53,1,php
53,1,html
53,1,microsoft
53,1,data_mining
53,1,business_intelligence
54,0,1
54,1,senior_data_scientist
54,1,regression
54,1,text_mining
54,1,clustering
54,1,machine_learning
54,1,java
54,1,c++
54,1,c
55,0,6
55,1,python
55,1,r
55,1,data_scientist
55,1,artificial_intelligence
55,1,data_mining
55,1,machine_learning
55,1,phd
55,1,sql
56,0,4
56,1,machine_learning
56,1,data_science
56,1,data_pipeline
56,1,data_scientist
56,1,cloud
56,1,data_management
56,1,tableau
56,1,algorithm
57,0,4
57,1,analytical_project_management
57,1,predictive_model
57,1,data_management
57,1,data_mining
57,1,data_cleansing
57,1,data_visualization
57,1,statistical_data_analysis
57,1,svm
58,0,6
58,1,conceptual_modelling
58,1,natural_language_processing
58,1,machine_learning
