Unnamed: 0.1,Unnamed: 0,Job_Role,Skills/Description,lda_topic,lda_score
0,0,Senior Data Scientist,"['python', 'mlt', 'statistical_modeling', 'machine_learning', 'it_skills', 'advanced_analytics', 'scala', 'statistics']",6,0.46974254
2,2,Applied Data Scientist / ML Senior Engineer (Python / SQL),"['python', 'it_skills', 'testing', 'cloud', 'product_management', 'sap', 'cloud_computing', 'nlp']",1,0.7734125
3,3,Data Scientist,"['python', 'machine_learning', 'data_science', 'data_analysis', 'aws', 'azure']",1,0.7517007
4,4,Data Scientist,"['it_skills', 'python', 'data_science', 'machine_learning', 'big_data', 'computer_science', 'computer_vision', 'deep_learning']",6,0.49593776
5,5,Principal Data Scientist,"['data_science', 'oral_communication', 'shell', 'python', 'unix', 'written', 'big_data', 'machine_learning']",1,0.42428616
6,6,Data Scientist,"['computer_science', 'cassandra', 'machine_learning', 'agile', 'data_structures', 'open_source', 'distribution_system', 'analytics']",2,0.8795952
7,7,Expert Data Scientist,"['team_lead', 'mlt', 'machine_learning', 'aws', 'python', 'it_skills', 'testing', 'data_science']",1,0.8868921
8,8,Data Scientist,"['graphics', 'bidding', 'google_analytics', 'data_management', 'social_networking', 'google_adwords', 'html', 'business_intelligence']",4,0.4186728
10,10,Senior Data Scientist - Machine Learning,"['machine_learning', 'it_skills', 'java', 'python', 'software_development', 'data_science', 'nlp', 'open_source']",1,0.4778833
11,11,Data Scientist / Senior Data Scientist,"['time_series_forecasting', 'machine_learning', 'sql', 'python', 'cnn', 'rnn', 'un-_supervised_learning', 'supervised_learning']",6,0.75138426
12,12,Sr Data Scientist,"['computer_science', 'c++', 'artificial_intelligence', 'machine_learning', 'scala', 'agile', 'data_structures', 'scrum']",2,0.52340597
13,13,Senior Data Scientist,"['database_knowledge', 'r', 'statistical_programming', 'python', 'it_skills', 'machine_learning', 'mathematics_and_science_background', 'sas']",1,0.47372764
14,14,Senior Data Scientist,"['computer_science', 'computer_vision', 'operations_research', 'product_engineering', 'data_science', 'coding', 'machine_learning', 'information_retrieval']",6,0.5653489
15,15,Lead Python Data Scientist,"['ci_/_cd', 'algorithms', 'data_science', 'nosql', 'data_structure', 'python', 'azure', 'aws']",0,0.5198484
16,16,Senior Data Scientist Grade12,"['computer_vision', 'git', 'machine_learning', 'jira', 'python', 'deep_learning', 'data_science', 'neural_networks']",6,0.724559
18,18,Sr. Analyst - Applied Data Scientist,"['python', 'tableau', 'machine_learning', 'sql', 'statistical_modeling', 'adv_excel', 'microstrategy', 'r_shiny']",4,0.62612647
19,19,Data Scientist V,"['it_skills', 'python', 'data_science', 'machine_learning', 'big_data', 'aws', 'azure', 'computer_science']",1,0.88631546
20,20,"Manager, Data Scientist/AI and Machine Learning Specialist","['computer_science', 'data_science', 'neural_networks', 'pharma', 'network_analysis', 'machine_learning', 'clinical_trials', 'data_visualization']",6,0.47889
21,21,Digital-Process Manager-Data Scientist PM,"['tableau', 'data_science', 'r', 'logistic_regression', 'sas', 'classification', 'data_analytics', 'random_forest']",4,0.4599747
22,22,Associate Data Scientist,"['data_reporting', 'analytical', 'pharma', 'healthcare', 'data_integrity', 'hr', 'troubleshooting', 'hplc']",5,0.8896876
23,23,Senior Data Scientist,"['python', 'django', 'java', 'mysql', 'it_skills', 'data_science', 'cloud', 'javascript']",1,0.62057453
24,24,Senior Data Scientist,"['data_management', 'data_science', 'cash_flow', 'data_analytics', 'big_data', 'business_banking', 'analytics', 'sql']",5,0.38695994
25,25,Junior Data Analyst/ Scientist- Fresher Position,"['data_analysis', 'c++', 'data_visualization', 'advanced_excel', 'tableau', 'python']",4,0.7027525
26,26,Sr. Clinical Data Programming Scientist,"['sas', 'consulting', 'programming', 'life_sciences', 'pharmacovigilance', 'cognos', 'project_initiation', 'clinical_trials']",2,0.56722975
27,27,"Manager, Senior Clinical Data Scientist, Clinical Data Sciences","['data_management', 'edc', 'clinical_trials', 'data_collection', 'clinical_research', 'data_quality', 'licensing', 'monitoring']",2,0.4825883
28,28,Senior Data Scientist,"['supply_chain', 'text_mining', 'data_management', 'manager_technology', 'data_quality', 'mathematics', 'network_management', 'big_data']",5,0.5652549
29,29,Digital-Senior Process Manager- Data Scientist SPM,"['tableau', 'data_science', 'r', 'logistic_regression', 'sas', 'classification', 'image_analytics', 'data_analytics']",4,0.4655174
30,30,Data Scientist,"['computer_vision', 'pdf', 'data_manipulation', 'machine_learning', 'data_visualization', 'executive_search', 'data_mining', 'big_data']",4,0.30077153
32,32,DATA SCIENTIST,"['computer_science', 'c++', 'operations_research', 'analytical', 'machine_learning', 'data_collection', 'data_mining', 'business_intelligence']",5,0.58048385
33,33,Principal Data Scientist - Digital Marketing,"['automation', 'product_engineering', 'operations_research', 'machine_learning', 'agile', 'data_structures', 'digital_marketing', 'open_source']",2,0.48311076
35,35,Sr Data Scientist and Engineer,"['machine_learning', 'tensorflow', 'bigquery', 'sap', 'power_bi', 'hadoop', 'big_data', 'tableau']",4,0.3269414
36,36,Data Scientist/ Sr Data Scientist,"['python', 'pyspark', 'credit_risk_modeling', 'credit_card_firm', 'hadoop', 'lgd', 'sql', 'r']",4,0.6097465
38,38,Data Scientist: Artificial Intelligence,"['training', 'enterprise_applications', 'artificial_intelligence', 'investigation', 'open_source', 'watson_discovery', 'deployment']",6,0.50569165
39,39,Data Scientist (AVP & Manager Roles),"['python', 'predictive_modeling', 'data_scientist', 'model_deployment', 'machine_learning']",6,0.8087195
40,40,Principal Data Scientist,"['team_management', 'mlt', 'machine_learning', 'python', 'digital_analytics', 'data_analysis', 'data_science', 'aws']",1,0.8184058
41,41,Data Scientist,"['aws', 'it_skills', 'python', 'testing', 'data_science', 'machine_learning', 'naive_bayes', 'decision_tree']",1,0.47713807
42,42,Data Scientist: Advanced Analytics,"['interpersonal_skills', 'data_science', 'consulting', 'machine_learning', 'open_source', 'training', 'advanced_analytics', 'circuit_designing']",6,0.4770598
43,43,Data Scientist: Artificial Intelligence,"['data_migration', 'maximo', 'enterprise_applications', 'artificial_intelligence', 'open_source', 'maximo_implementation', 'maximo_data_model', 'maximo_data_migration']",4,0.4447868
44,44,"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)","['power_bi', 'hdinsight', 'emr', 'etl', 'big_data_ecosystem', 'glue', 'dataflow', 'oozie']",4,0.7685079
45,45,VP-Data Scientist-AI/ML with Leading Investment Bank,"['pytorch', 'tensorflow', 'data_science', 'pyspark', 'presto', 'classification', 'time_series', 'machine_learning']",6,0.54633784
46,46,Senior Data Scientist,"['it_skills', 'testing', 'data_science', 'machine_learning', 'cloud', 'big_data', 'text_mining', 'neural_networks']",1,0.5156168
47,47,Cognitive/AI Senior Data Scientist,"['automation', 'consulting', 'machine_learning', 'analytics', 'salesforce', 'it_skills', 'azure', 'ivr']",1,0.30306062
48,48,Analyst - Applied Data Scientist,"['python', 'tableau', 'sql']",4,0.7284277
49,49,Research Data Scientist,"['machine_learning', 'python', 'it_skills', 'software_development', 'data_science', 'cloud', 'logistic_regression', 'nosql']",1,0.64397275
50,50,Freshers For Junior Data Scientist,"['statistical_modeling', 'r_program']",4,0.65006644
51,51,Lead - Data Scientist,"['data_science', 'java', 'business_intelligence', 'r', 'visualization', 'business_analytics', 'sql_server', 'tableau']",4,0.48676917
52,52,Data Scientist / Analyst,"['data_analysis', 'wealth_management', 'coding', 'project_management', 'analytical', 'anti_money_laundering', 'cash_management', 'financial_services']",5,0.63019
54,54,Data Scientist,"['python', 'regression', 'data_visualization', 'machine_learning', 'sql', 'power_bi', 'data_manipulation', 'sql_querying']",4,0.4859368
55,55,Assistant Manager/Manager/Senior Manager - Data Scientist,"['r', 'sas', 'data_scientist', 'analytics', 'analytical_skills', 'machine_learning']",4,0.36908755
56,56,Senior Data Scientist,"['data_science', 'data_scientist', 'data_analysis', 'data_analytics', 'data_analyst', 'python', 'r', 'sql']",4,0.8749507
57,57,Job Opportunity || Data Scientist || HCL Technologies,"['machine_learning', 'python', 'caffe', 'torch', 'opencv', 'tensorflow', 'theano', 'cudnn']",6,0.50190705
58,58,Clinical Data Management Scientist,"['sas', 'data_management', 'consulting', 'life_sciences', 'sql', 'it_skills', 'cloud', 'statistical_programming']",5,0.37353122
60,60,Data Scientist - KONE India Pvt. LTD,"['python', 'r', 'sql', 'it_skills', 'cloud', 'devops', 'aws', 'data_visualization']",1,0.5550166
61,61,Data Scientist,"['graphics', 'bidding', 'data_management', 'php', 'html', 'microsoft', 'data_mining', 'business_intelligence']",2,0.42119533
62,62,Data Scientist - Leading Analytics Product Company in Mumbai,"['senior_data_scientist', 'regression', 'text_mining', 'clustering', 'machine_learning', 'java', 'c++', 'c']",1,0.55834645
63,63,Data Scientist - R/Python,"['python', 'r', 'data_scientist', 'artificial_intelligence', 'data_mining', 'machine_learning', 'phd', 'sql']",6,0.4870105
64,64,Data Scientist - Machine Learning,"['machine_learning', 'data_science', 'data_pipeline', 'data_scientist', 'cloud', 'data_management', 'tableau', 'algorithm']",4,0.36606193
65,65,Sr. Data Scientist,"['analytical_project_management', 'predictive_model', 'data_management', 'data_mining', 'data_cleansing', 'data_visualization', 'statistical_data_analysis', 'svm']",4,0.76123
66,66,Sr. Data Scientist,"['conceptual_modelling', 'natural_language_processing', 'machine_learning', 'predictive_modelling', 'hypothesis_testing._-experience_working_on_building_an_ai_conversation_voice_chatbot', 'it_skills', 'python', 'testing']",6,0.34716755
67,67,Senior Data Scientist,"['cloud_computing', 'simulation', 'agile_scrum', 'contract_management', 'neural_networks', 'analytical', 'machine_learning', 'predictive_modeling']",6,0.39595568
68,68,Digital-Senior Process Manager- Data Scientist SPM,"['data_visualization_tools', 'it_skills', 'python', 'data_science', 'project_management', 'tableau', 'bpo', 'project_management']",1,0.8865865
70,70,Sr Data Scientist,"['computer_science', 'administration', 'logistic_regression', 'sas', 'coding', 'mis', 'intellectual_property', 'financial_services']",5,0.7759437
71,71,Data Scientist,"['unix', 'operations_research', 'sas', 'data_management', 'risk_analytics', 'project_management', 'data_collection', 'data_mining']",5,0.8883837
72,72,Data Scientist/ Analyst Specialist,"['machine_learning', 'python', 'sql', 'r', 'logistic_regression', 'computer_science', 'client_servicing', 'data_analysis']",4,0.34933206
75,75,Data Scientist,"['data_science', 'pyspark', 'algorithms', 'machine_learning', 'deep_learning']",6,0.65093803
76,76,Rolls-Royce Data Labs : Data Scientist,"['matplotlib', 'azure', 'git', 'linux', 'docker', 'pandas', 'python']",0,0.7240565
77,77,Data Scientist,"['data_science', 'cnn', 'lstm', 'numpy', 'machine_learning', 'deep_learning', 'pytorch', 'pandas']",6,0.6560996
79,79,Data Scientist,"['hadoop', 'it_skills', 'data_science', 'computer_science', 'operations_research', 'interpersonal_skills', 'risk_analytics', 'scala']",5,0.42970464
80,80,Data Scientist: Artificial Intelligence,"['scheduling', 'big_data', 'unix_shell_scripting', 'sql', 'python', 'automation', 'interpersonal_skills', 'artificial_intelligence']",5,0.4963098
81,81,Data Scientist: Artificial Intelligence,"['scheduling', 'big_data', 'unix_shell_scripting', 'sql', 'python', 'automation', 'interpersonal_skills', 'artificial_intelligence']",5,0.49637315
